      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE  VALIDATION_ERR_CVRMSD 
        15  1.500000000000000E+001 -5.647424673549608E-001  1.016631538048449E+000  1.552042372767966E-005  1.091449032000363E+022 -1.091369621999651E+022  9.096863934837674E+020 -4.306708662685992E+020  9.096864195877038E+020 -4.306708923725361E+020  3.989223162302474E+021  3.989223162302476E+021  7.471804186199364E-017  4.995500110046051E-017  4.792596108714609E-007
        16  1.600000000000000E+001 -5.647248560872759E-001  1.016599833670281E+000  1.552210356920158E-005  1.091414993725657E+022 -1.091335583724946E+022  9.096580379122019E+020 -4.306574347826568E+020  9.096580640141688E+020 -4.306574608846243E+020  3.989223162302474E+021  3.989223162302476E+021  9.198383453175899E-017  3.634032204406557E-017  5.112385916253833E-007
        16  1.600000000000000E+001 -5.647248560872759E-001  1.016599833670281E+000  1.552210356920158E-005  1.091414993725657E+022 -1.091335583724946E+022  9.096580379122019E+020 -4.306574347826568E+020  9.096580640141688E+020 -4.306574608846243E+020  3.989223162302474E+021  3.989223162302476E+021  9.198383453175899E-017  3.634032204406557E-017  5.112385916253833E-007
        17  1.700000000000000E+001 -5.647072453687743E-001  1.016568130389616E+000  1.552378342385844E-005  1.091380956512511E+022 -1.091301546511800E+022  9.096296832246389E+020 -4.306440037154875E+020  9.096297093246367E+020 -4.306440298154856E+020  3.989223162302474E+021  3.989223162302476E+021  8.833334456750363E-017  2.961063277664602E-017  5.432209924649678E-007
        17  1.700000000000000E+001 -5.647072453687743E-001  1.016568130389616E+000  1.552378342385844E-005  1.091380956512511E+022 -1.091301546511800E+022  9.096296832246389E+020 -4.306440037154875E+020  9.096297093246367E+020 -4.306440298154856E+020  3.989223162302474E+021  3.989223162302476E+021  8.833334456750363E-017  2.961063277664602E-017  5.432209924649678E-007
        18  1.800000000000000E+001 -5.646896351994399E-001  1.016536428205255E+000  1.552546329163814E-005  1.091346920360892E+022 -1.091267510360181E+022  9.096013294210516E+020 -4.306305730670781E+020  9.096013555190799E+020 -4.306305991651069E+020  3.989223162302474E+021  3.989223162302476E+021  9.574688242939978E-017  4.187937397955705E-017  5.752067917225098E-007
        18  1.800000000000000E+001 -5.646896351994399E-001  1.016536428205255E+000  1.552546329163814E-005  1.091346920360892E+022 -1.091267510360181E+022  9.096013294210516E+020 -4.306305730670781E+020  9.096013555190799E+020 -4.306305991651069E+020  3.989223162302474E+021  3.989223162302476E+021  9.574688242939978E-017  4.187937397955705E-017  5.752067917225098E-007
        19  1.900000000000000E+001 -5.646720255792541E-001  1.016504727116006E+000  1.552714317252849E-005  1.091312885270766E+022 -1.091233475270054E+022  9.095729765014122E+020 -4.306171428374157E+020  9.095730025974711E+020 -4.306171689334752E+020  3.989223162302474E+021  3.989223162302476E+021  1.007746029724520E-016  5.632232248424977E-017  6.071959680161620E-007
        19  1.900000000000000E+001 -5.646720255792541E-001  1.016504727116006E+000  1.552714317252849E-005  1.091312885270766E+022 -1.091233475270054E+022  9.095729765014122E+020 -4.306171428374157E+020  9.095730025974711E+020 -4.306171689334752E+020  3.989223162302474E+021  3.989223162302476E+021  1.007746029724520E-016  5.632232248424977E-017  6.071959680161620E-007
        20  2.000000000000000E+001 -5.646544165082007E-001  1.016473027120698E+000  1.552882306651818E-005  1.091278851242101E+022 -1.091199441241389E+022  9.095446244656930E+020 -4.306037130264872E+020  9.095446505597825E+020 -4.306037391205773E+020  3.989223162302474E+021  3.989223162302476E+021  1.027624332161757E-016  5.766826033773369E-017  6.391884997126507E-007
