      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        42  4.200000000000000E+001 -1.297174567888660E+000  1.297174567888660E+000  0.000000000000000E+000  4.565513240244652E+020 -4.565513240244651E+020  6.310010016848143E+017 -6.310010016848143E+017  4.379678303813145E-027 -4.379677831774244E-027  3.989223162302474E+021  3.989223162302476E+021  3.426769487751364E-002  5.306101153157723E-019  3.799474350603258E-004
        43  4.300000000000000E+001 -1.295711465691296E+000  1.295711465691296E+000  0.000000000000000E+000  4.565513240257773E+020 -4.565513240257772E+020  5.923187562615922E+017 -5.923187562615919E+017  5.722545841197945E-027 -5.722545074611791E-027  3.989223162302474E+021  3.989223162302476E+021  3.433334032471728E-002  3.688387386951100E-019  3.891868814016640E-004
        44  4.400000000000000E+001 -1.293779796451017E+000  1.293779796451017E+000  0.000000000000000E+000  4.565513240264575E+020 -4.565513240264575E+020  5.558078824281441E+017 -5.558078824281441E+017  7.456498673815555E-027 -7.456497519179263E-027  3.989223162302474E+021  3.989223162302476E+021  3.439879817093078E-002  3.817804488247630E-019  3.984352577430156E-004
        45  4.500000000000000E+001 -1.291381717714028E+000  1.291381717714028E+000  0.000000000000000E+000  4.565513240266233E+020 -4.565513240266232E+020  5.213596138847089E+017 -5.213596138847091E+017  9.149454535548831E-027 -9.149452907897308E-027  3.989223162302474E+021  3.989223162302476E+021  3.446406805846304E-002  6.406146514178226E-019  4.076925539168496E-004
        46  4.600000000000000E+001 -1.288519889556639E+000  1.288519889556639E+000  0.000000000000000E+000  4.565513240265572E+020 -4.565513240265572E+020  4.888698179507242E+017 -4.888698179507242E+017  1.029463968517001E-026 -1.029463753745353E-026  3.989223162302474E+021  3.989223162302476E+021  3.452914963065011E-002  2.847176228523656E-019  4.169587593551103E-004
        47  4.700000000000000E+001 -1.285197469604666E+000  1.285197469604666E+000  0.000000000000000E+000  4.565513240261931E+020 -4.565513240261931E+020  4.582388456647944E+017 -4.582388456647943E+017  9.938917961230855E-027 -9.938915331630434E-027  3.989223162302474E+021  3.989223162302476E+021  3.459404253185720E-002  5.694352457047312E-019  4.262338631052457E-004
        48  4.800000000000000E+001 -1.281418107168523E+000  1.281418107168523E+000  0.000000000000000E+000  4.565513240255425E+020 -4.565513240255426E+020  4.293713848981453E+017 -4.293713848981453E+017  1.815649850021019E-026 -1.815649558171119E-026  3.989223162302474E+021  3.989223162302476E+021  3.465874640748049E-002  2.135382171392742E-019  4.355178538456582E-004
        49  4.900000000000000E+001 -1.279185573208149E+000  1.279185573208149E+000  0.000000000000000E+000  4.565513240256769E+020 -4.565513240256769E+020  4.021763162349953E+017 -4.021763162349953E+017  4.376978517477858E-026 -4.376978240885716E-026  3.989223162302474E+021  3.989223162302476E+021  3.472326090394921E-002  4.270764342785484E-019  4.448107199008879E-004
        50  5.000000000000000E+001 -1.277979494478286E+000  1.277979494478286E+000  0.000000000000000E+000  4.565513240273459E+020 -4.565513240273458E+020  3.765665688332867E+017 -3.765665688332867E+017  8.863279421071176E-026 -8.863279240114640E-026  3.989223162302474E+021  3.989223162302476E+021  3.478758566872747E-002  1.941256519447947E-020  4.541124492559023E-004
        51  5.100000000000000E+001 -1.276310817988603E+000  1.276310817988603E+000  0.000000000000000E+000  4.565513240282985E+020 -4.565513240282986E+020  3.524589774455238E+017 -3.524589774455238E+017  1.640318348059638E-025 -1.640318352378452E-025  3.989223162302474E+021  3.989223162302476E+021  3.485172035031623E-002  1.164753911668768E-019  4.634230295703219E-004
        52  5.200000000000000E+001 -1.274181414459919E+000  1.274181414459919E+000  0.000000000000000E+000  4.565513240286623E+020 -4.565513240286623E+020  3.297741500604972E+017 -3.297741500604972E+017  2.869182498981364E-025 -2.869182544293105E-025  3.989223162302474E+021  3.989223162302476E+021  3.491566459825521E-002  7.829734628440053E-019  4.727424481919826E-004
        53  5.300000000000000E+001 -1.271593651652272E+000  1.271593651652272E+000  0.000000000000000E+000  4.565513240285511E+020 -4.565513240285512E+020  3.084363304318024E+017 -3.084363304318024E+017  4.824462910350339E-025 -4.824463021011297E-025  3.989223162302474E+021  3.989223162302476E+021  3.497941806312482E-002  9.318031293350146E-019  4.820706921699271E-004
        54  5.400000000000000E+001 -1.268550389914975E+000  1.268550389914975E+000  0.000000000000000E+000  4.565513240280659E+020 -4.565513240280659E+020  2.883732657381100E+017 -2.883732657381100E+017  7.876346681179905E-025 -7.876346885578839E-025  3.989223162302474E+021  3.989223162302476E+021  3.504298039654802E-002  2.005965070096212E-019  4.914077482673140E-004
        55  5.500000000000000E+001 -1.265054976859612E+000  1.265054976859612E+000  0.000000000000000E+000  4.565513240275630E+020 -4.565513240275630E+020  2.695160773225981E+017 -2.695160773225981E+017  1.257814642579531E-024 -1.257814675148374E-024  3.989223162302474E+021  3.989223162302476E+021  3.510635125119228E-002  1.941256519447947E-019  5.007536029735949E-004
        56  5.600000000000000E+001 -1.261964441398225E+000  1.261964441398225E+000  0.000000000000000E+000  4.565513240268207E+020 -4.565513240268207E+020  2.517991332039585E+017 -2.517991332039585E+017  1.970498641094628E-024 -1.970498687493852E-024  3.989223162302474E+021  3.989223162302476E+021  3.516953028077147E-002  1.423588114261828E-019  5.101082425165303E-004
        57  5.700000000000000E+001 -1.261008056878358E+000  1.261008056878358E+000  0.000000000000000E+000  4.565513240286224E+020 -4.565513240286225E+020  2.351599279309711E+017 -2.351599279309711E+017  3.037857123912150E-024 -3.037857183144328E-024  3.989223162302474E+021  3.989223162302476E+021  3.523251714004771E-002  3.106010431116715E-019  5.194716528735206E-004
        58  5.800000000000000E+001 -1.259594868557375E+000  1.259594868557375E+000  0.000000000000000E+000  4.565513240299031E+020 -4.565513240299031E+020  2.195389529682830E+017 -2.195389529682830E+017  4.619667351965970E-024 -4.619667417840515E-024  3.989223162302474E+021  3.989223162302476E+021  3.529531148483329E-002  6.212020862233431E-019  5.288438197830085E-004
        59  5.900000000000000E+001 -1.257726468425951E+000  1.257726468425951E+000  0.000000000000000E+000  4.565513240305266E+020 -4.565513240305266E+020  2.048795877186704E+017 -2.048795877186704E+017  6.942178527191524E-024 -6.942178584898914E-024  3.989223162302474E+021  3.989223162302476E+021  3.535791297199254E-002  2.458924924634066E-019  5.382247287550603E-004
        60  6.000000000000000E+001 -1.255404940088767E+000  1.255404940088767E+000  0.000000000000000E+000  4.565513240306102E+020 -4.565513240306102E+020  1.911279821207990E+017 -1.911279821207990E+017  1.032406868284881E-023 -1.032406870473168E-023  3.989223162302474E+021  3.989223162302476E+021  3.542032125944372E-002  3.623678836302835E-019  5.476143650819157E-004
        61  6.100000000000000E+001 -1.252632854830607E+000  1.252632854830607E+000  0.000000000000000E+000  4.565513240302592E+020 -4.565513240302592E+020  1.782329447060340E+017 -1.782329447060340E+017  1.521206449582503E-023 -1.521206443685808E-023  3.989223162302474E+021  3.989223162302476E+021  3.548253600616088E-002  3.753095937599365E-019  5.570127138480877E-004
        62  6.200000000000000E+001 -1.249413266812800E+000  1.249413266812800E+000  0.000000000000000E+000  4.565513240295692E+020 -4.565513240295691E+020  1.661458339823632E+017 -1.661458339823632E+017  2.222971070767998E-023 -2.222971050178292E-023  3.989223162302474E+021  3.989223162302476E+021  3.554455687217568E-002  5.176684051861192E-019  5.664197599400504E-004
        63  6.300000000000000E+001 -1.245749707412701E+000  1.245749707412701E+000  0.000000000000000E+000  4.565513240287050E+020 -4.565513240287050E+020  1.548204529577971E+017 -1.548204529577971E+017  3.224410097851623E-023 -3.224410053771059E-023  3.989223162302474E+021  3.989223162302476E+021  3.560638351857934E-002  5.047266950564662E-019  5.758354880559026E-004
        64  6.400000000000000E+001 -1.244756153422995E+000  1.244756153422995E+000  0.000000000000000E+000  4.565513240295686E+020 -4.565513240295686E+020  1.442129483117597E+017 -1.442129483117597E+017  4.660941133979427E-023 -4.660941055938905E-023  3.989223162302474E+021  3.989223162302476E+021  3.566801560752438E-002  1.164753911668768E-019  5.852598827143461E-004
        65  6.500000000000000E+001 -1.243591411167079E+000  1.243591411167079E+000  0.000000000000000E+000  4.565513240312126E+020 -4.565513240312126E+020  1.342817063649005E+017 -1.342817063649005E+017  6.704373104245231E-023 -6.704372981685780E-023  3.989223162302474E+021  3.989223162302476E+021  3.572945280222656E-002  2.588342025930596E-019  5.946929282636789E-004
        66  6.600000000000000E+001 -1.241976815087613E+000  1.241976815087613E+000  0.000000000000000E+000  4.565513240321381E+020 -4.565513240321381E+020  1.249872589683606E+017 -1.249872589683606E+017  9.590170372953665E-023 -9.590170198481130E-023  3.989223162302474E+021  3.989223162302476E+021  3.579069476696668E-002  7.635608976495259E-019  6.041346088902998E-004
        67  6.700000000000000E+001 -1.239914172338543E+000  1.239914172338543E+000  0.000000000000000E+000  4.565513240324619E+020 -4.565513240324619E+020  1.162921922784714E+017 -1.162921922784714E+017  1.364906287768480E-022 -1.364906265273816E-022  3.989223162302474E+021  3.989223162302476E+021  3.585174116709242E-002  4.270764342785484E-019  6.135849086271560E-004
        68  6.800000000000000E+001 -1.237405772890930E+000  1.237405772890930E+000  0.000000000000000E+000  4.565513240322921E+020 -4.565513240322921E+020  1.081610547308105E+017 -1.081610547308105E+017  1.933707115054809E-022 -1.933707089428086E-022  3.989223162302474E+021  3.989223162302476E+021  3.591259166902015E-002  6.988523470012610E-019  6.230438113616547E-004
        69  6.900000000000000E+001 -1.234454385239095E+000  1.234454385239095E+000  0.000000000000000E+000  4.565513240317257E+020 -4.565513240317257E+020  1.005602695970559E+017 -1.005602695970559E+017  2.728192999880287E-022 -2.728192976089052E-022  3.989223162302474E+021  3.989223162302476E+021  3.597324594023676E-002  6.859106368716080E-019  6.325113008435303E-004
        70  7.000000000000000E+001 -1.231063251256048E+000  1.231063251256048E+000  0.000000000000000E+000  4.565513240308494E+020 -4.565513240308494E+020  9.345805047110349E+016 -9.345805047110349E+016  3.834656816379686E-022 -3.834656804154766E-022  3.989223162302474E+021  3.989223162302476E+021  3.603370364930152E-002  2.070673620744477E-019  6.419873606924276E-004
        71  7.100000000000000E+001 -1.229185893238857E+000  1.229185893238857E+000  0.000000000000000E+000  4.565513240303744E+020 -4.565513240303744E+020  8.682432027792966E+016 -8.682432027792966E+016  5.371593269955536E-022 -5.371593285898594E-022  3.989223162302474E+021  3.989223162302476E+021  3.609396446584781E-002  6.082603760936901E-019  6.514719744051385E-004
        72  7.200000000000000E+001 -1.228262984631125E+000  1.228262984631125E+000  0.000000000000000E+000  4.565513240322792E+020 -4.565513240322791E+020  8.063063313670934E+016 -8.063063313670934E+016  7.501579240550198E-022 -7.501579310478846E-022  3.989223162302474E+021  3.989223162302476E+021  3.615402806058501E-002  1.294171012965298E-020  6.609651253627051E-004
        73  7.300000000000000E+001 -1.226895432189810E+000  1.226895432189810E+000  0.000000000000000E+000  4.565513240334860E+020 -4.565513240334860E+020  7.485009205947658E+016 -7.485009205947658E+016  1.044753869002722E-021 -1.044753885120419E-021  3.989223162302474E+021  3.989223162302476E+021  3.621389410530022E-002  6.341437963529961E-019  6.704667968373828E-004
        74  7.400000000000000E+001 -1.225084773899455E+000  1.225084773899455E+000  0.000000000000000E+000  4.565513240340591E+020 -4.565513240340591E+020  6.945728392380364E+016 -6.945728392380363E+016  1.451502450656061E-021 -1.451502480917500E-021  3.989223162302474E+021  3.989223162302476E+021  3.627356227286010E-002  5.694352457047312E-019  6.799769719990613E-004
        75  7.500000000000000E+001 -1.222833025740413E+000  1.222833025740413E+000  0.000000000000000E+000  4.565513240341114E+020 -4.565513240341114E+020  6.442820585863704E+016 -6.442820585863703E+016  2.012276458356381E-021 -2.012276509046205E-021  3.989223162302474E+021  3.989223162302476E+021  3.633303223721269E-002  1.811839418151417E-019  6.894956339218527E-004
