      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        46  4.600000000000000E+001 -1.284673736333913E+000  1.285578020218528E+000  0.000000000000000E+000  4.565513240347192E+020 -4.565513240347192E+020  4.888698179589627E+017 -4.888698179589626E+017  1.029463948024474E-026 -1.029463710282149E-026  3.989223162302474E+021  3.989223162302476E+021  3.452914263241259E-002  1.553005215558358E-019  2.292356609219891E-003
        47  4.700000000000000E+001 -1.282336201625155E+000  1.280992746734650E+000  0.000000000000000E+000  4.565513240365562E+020 -4.565513240365562E+020  4.582388456746247E+017 -4.582388456746246E+017  9.938918159442178E-027 -9.938915300233583E-027  3.989223162302474E+021  3.989223162302476E+021  3.459403536804052E-002  1.811839418151417E-019  2.341806324887358E-003
        48  4.800000000000000E+001 -1.276828606173237E+000  1.278607982084909E+000  0.000000000000000E+000  4.565513240392974E+020 -4.565513240392974E+020  4.293713849105628E+017 -4.293713849105628E+017  1.815661244030831E-026 -1.815660933228810E-026  3.989223162302474E+021  3.989223162302476E+021  3.465873907755258E-002 -5.176684051861192E-020  2.391239861112017E-003
        49  4.900000000000000E+001 -1.276393809757183E+000  1.274177390770019E+000  0.000000000000000E+000  4.565513240428686E+020 -4.565513240428685E+020  4.021763162497132E+017 -4.021763162497132E+017  4.376978558183440E-026 -4.376978274512700E-026  3.989223162302474E+021  3.989223162302476E+021  3.472325340738056E-002 -5.176684051861192E-020  2.440657228328411E-003
        50  5.000000000000000E+001 -1.272520581119370E+000  1.275172877123952E+000  0.000000000000000E+000  4.565513240496707E+020 -4.565513240496708E+020  3.765665688510625E+017 -3.765665688510624E+017  8.863279377821109E-026 -8.863279217177629E-026  3.989223162302474E+021  3.989223162302476E+021  3.478757800499115E-002 -8.412111584274438E-020  2.490058436989086E-003
        51  5.100000000000000E+001 -1.273460502372839E+000  1.270374695308538E+000  0.000000000000000E+000  4.565513240563380E+020 -4.565513240563379E+020  3.524589774666463E+017 -3.524589774666462E+017  1.640318326185656E-025 -1.640318338269839E-025  3.989223162302474E+021  3.989223162302476E+021  3.485171251888791E-002  3.106010431116715E-019  2.539443497565526E-003
        52  5.200000000000000E+001 -1.268367308347229E+000  1.271258744897757E+000  0.000000000000000E+000  4.565513240633593E+020 -4.565513240633594E+020  3.297741500846330E+017 -3.297741500846329E+017  2.869182445728675E-025 -2.869182510083463E-025  3.989223162302474E+021  3.989223162302476E+021  3.491565659861315E-002 -3.882513038895894E-020  2.588812420548656E-003
        53  5.300000000000000E+001 -1.268570226146799E+000  1.266121280129155E+000  0.000000000000000E+000  4.565513240726637E+020 -4.565513240726637E+020  3.084363304608257E+017 -3.084363304608257E+017  4.824462805864273E-025 -4.824462956580886E-025  3.989223162302474E+021  3.989223162302476E+021  3.497940989474987E-002 -5.338455428481854E-019  2.638165216449931E-003
        54  5.400000000000000E+001 -1.263390546241562E+000  1.265398124360724E+000  0.000000000000000E+000  4.565513240817900E+020 -4.565513240817899E+020  2.883732657714464E+017 -2.883732657714464E+017  7.876581936712354E-025 -7.876582218307975E-025  3.989223162302474E+021  3.989223162302476E+021  3.504297205892364E-002  3.947221589544159E-019  2.687501895801812E-003
        55  5.500000000000000E+001 -1.261746168256070E+000  1.260178332764714E+000  0.000000000000000E+000  4.565513240939606E+020 -4.565513240939606E+020  2.695160773605005E+017 -2.695160773605005E+017  1.257814613855776E-024 -1.257814660369965E-024  3.989223162302474E+021  3.989223162302476E+021  3.510634274380456E-002  5.823769558343841E-020  2.736822469158534E-003
