      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
        94  9.400000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        95  9.500000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        96  9.600000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        97  9.700000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        98  9.800000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        99  9.900000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       100  1.000000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       101  1.010000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       102  1.020000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       103  1.030000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       104  1.040000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       105  1.050000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       106  1.060000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       107  1.070000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       108  1.080000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       109  1.090000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       110  1.100000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       111  1.110000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       112  1.120000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       113  1.130000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       114  1.140000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       115  1.150000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       116  1.160000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       117  1.170000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       118  1.180000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       119  1.190000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       120  1.200000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       121  1.210000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       122  1.220000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       123  1.230000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       124  1.240000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       125  1.250000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       126  1.260000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       127  1.270000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       128  1.280000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       129  1.290000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       130  1.300000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       131  1.310000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       132  1.320000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       133  1.330000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       134  1.340000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       135  1.350000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       136  1.360000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       137  1.370000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       138  1.380000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       139  1.390000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       140  1.400000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       141  1.410000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       142  1.420000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       143  1.430000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       144  1.440000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       145  1.450000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       146  1.460000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       147  1.470000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       148  1.480000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       149  1.490000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       150  1.500000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       151  1.510000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       152  1.520000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       153  1.530000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       154  1.540000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       155  1.550000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       156  1.560000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       157  1.570000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       158  1.580000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       159  1.590000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       160  1.600000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       161  1.610000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       162  1.620000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       163  1.630000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       164  1.640000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       165  1.650000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       166  1.660000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       167  1.670000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       168  1.680000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       169  1.690000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       170  1.700000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       171  1.710000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       172  1.720000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       173  1.730000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       174  1.740000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       175  1.750000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
