      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
       322  8.050000000000000E+001  2.500000000000000E-001  9.804536080570331E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       324  8.100000000000000E+001  2.500000000000000E-001  9.804543343878114E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       326  8.150000000000000E+001  2.500000000000000E-001  9.804550934683377E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       328  8.200000000000000E+001  2.500000000000000E-001  9.804558684222725E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       330  8.250000000000000E+001  2.500000000000000E-001  9.804566452118776E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       332  8.300000000000000E+001  2.500000000000000E-001  9.804574237260475E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       334  8.350000000000000E+001  2.500000000000000E-001  9.804582037296415E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       336  8.400000000000000E+001  2.500000000000000E-001  9.804589849976692E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       338  8.450000000000000E+001  2.500000000000000E-001  9.804597676921951E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       340  8.500000000000000E+001  2.500000000000000E-001  9.804605520879841E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       342  8.550000000000000E+001  2.500000000000000E-001  9.804613382615958E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       344  8.600000000000000E+001  2.500000000000000E-001  9.804621261480701E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       346  8.650000000000000E+001  2.500000000000000E-001  9.804628450061925E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       348  8.700000000000000E+001  2.500000000000000E-001  9.804635092115463E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       350  8.750000000000000E+001  2.500000000000000E-001  9.804641759030186E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       352  8.800000000000000E+001  2.500000000000000E-001  9.804648454387497E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
